Date mutation,Valeur Fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Type local,Surface reelle bati,Nombre pieces principales
10/08/2018 00:00,390000,19,RUE,8150,RIVAY,92300,LEVALLOIS-PERRET,92,44,U,152,Appartement,44,2
22/08/2018 00:00,300000,4,RUE,4170,GEULIN,92110,CLICHY,92,24,M,6,Appartement,45,2
28/08/2018 00:00,370000,94,RUE,6140,MARIUS AUFAN,92300,LEVALLOIS-PERRET,92,44,M,104,Appartement,43,2
29/08/2018 00:00,413980,23,RUE,9650,DE VILLIERS,92200,NEUILLY-SUR-SEINE,92,51,Y,20,Appartement,47,2
31/08/2018 00:00,322500,44,RUE,4110,GABRIEL PERI,92300,LEVALLOIS-PERRET,92,44,S,122,Appartement,33,2
14/09/2018 00:00,256500,14,RUE,1420,CAMILLE PELLETAN,92300,LEVALLOIS-PERRET,92,44,O,50,Appartement,34,2
19/09/2018 00:00,325000,23,RUE,5165,LOUIS BLANC,92300,LEVALLOIS-PERRET,92,44,Y,67,Appartement,42,2
10/09/2018 00:00,264000,95,RUE,8150,RIVAY,92300,LEVALLOIS-PERRET,92,44,I,83,Appartement,31,2
21/09/2018 00:00,460400,6,RUE,9662,DE VILLIERS,92300,LEVALLOIS-PERRET,92,44,V,180,Appartement,55,2
12/09/2018 00:00,290000,56,RUE,7162,PIERRE BEREGOVOY,92110,CLICHY,92,24,L,116,Appartement,48,2
21/09/2018 00:00,220000,13,RUE,5138,LEON BLUM,92110,CLICHY,92,24,E,8,Appartement,32,2
20/09/2018 00:00,450000,14,RUE,6162,MATHILDE GIRAULT,92300,LEVALLOIS-PERRET,92,44,J,154,Appartement,51,2
11/09/2018 00:00,400000,88,RUE,6140,MARIUS AUFAN,92300,LEVALLOIS-PERRET,92,44,M,161,Appartement,50,2
19/09/2018 00:00,288400,108,RUE,5170,LOUIS ROUQUIER,92300,LEVALLOIS-PERRET,92,44,R,121,Appartement,37,2
28/09/2018 00:00,245000,6,RUE,7175,DU PORT,92110,CLICHY,92,24,C,31,Appartement,41,2
15/10/2018 00:00,439000,88,RUE,6140,MARIUS AUFAN,92300,LEVALLOIS-PERRET,92,44,M,161,Appartement,50,2
12/10/2018 00:00,227000,7,RUE,1490,CURTON,92110,CLICHY,92,24,Y,26,Appartement,35,2
15/10/2018 00:00,435000,40,RUE,1430,CARNOT,92300,LEVALLOIS-PERRET,92,44,S,141,Appartement,45,2
23/10/2018 00:00,350000,35,RUE,7130,DE PARIS,92110,CLICHY,92,24,AC,254,Appartement,49,2
05/10/2018 00:00,360000,77,RUE,1465,CHAUVEAU,92200,NEUILLY-SUR-SEINE,92,51,I,8,Appartement,36,2
25/10/2018 00:00,390460,82,RUE,626,BAUDIN,92300,LEVALLOIS-PERRET,92,44,I,144,Appartement,47,2
31/10/2018 00:00,277000,148,RUE,80,ARISTIDE BRIAND,92300,LEVALLOIS-PERRET,92,44,Q,59,Appartement,34,2
25/10/2018 00:00,297400,22,RUE,7110,DU PARC,92300,LEVALLOIS-PERRET,92,44,J,153,Appartement,41,2
30/10/2018 00:00,390650,12,RUE,4180,GREFFULHE,92300,LEVALLOIS-PERRET,92,44,C,246,Appartement,42,2
15/10/2018 00:00,484440,104,RUE,4785,JULES GUESDE,92300,LEVALLOIS-PERRET,92,44,H,152,Appartement,54,2
30/10/2018 00:00,330000,24,RUE,6140,MARIUS AUFAN,92300,LEVALLOIS-PERRET,92,44,V,141,Appartement,37,2
26/10/2018 00:00,385000,9,RUE,8555,SOYER,92200,NEUILLY-SUR-SEINE,92,51,F,27,Appartement,42,2
30/10/2018 00:00,353000,35,RUE,7130,DE PARIS,92110,CLICHY,92,24,AC,254,Appartement,49,2
20/11/2018 00:00,418000,12,RUE,5155,DE LORRAINE,92300,LEVALLOIS-PERRET,92,44,Z,43,Appartement,71,2
22/11/2018 00:00,338000,126,RUE,7136,PERRONET,92200,NEUILLY-SUR-SEINE,92,51,O,33,Appartement,36,2
08/01/2018 00:00,359800,133,RUE,8561,DE SILLY,92100,BOULOGNE-BILLANCOURT,92,12,AM,258,Appartement,52,2
16/01/2018 00:00,190000,7,RUE,1440,DE L YSER,92210,SAINT-CLOUD,92,64,AD,287,Appartement,25,2
19/01/2018 00:00,200500,56,RUE,630,HENRI REGNAULT,92210,SAINT-CLOUD,92,64,AM,316,Appartement,32,2
